Kategori,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
SPORT,-0.13590336306316755,-0.2089667234580725,0.2723152529354807,-0.19209050621355647,0.15376779434172974,-0.17840474455406635,-0.11404136313953622,-0.0977416974736943,-0.023670712914977667,-0.018324082335320832,-0.03335050735038011,0.02489482510953054,0.026719422971738273,-0.0018152959607594184,0.08727741583552631,-0.043096902798820336,-0.15546000935099677,0.050082542760724026,-0.16809214706965422,-0.05831150918074842,-0.13476082340032433,0.07038156958160058,0.010252891666094744,0.05103090182303785,0.004093359320594313,0.07988825410229912,0.03191185842844752,-0.05995651458025723,0.10510962441288692,0.03162547306985965,-0.042162754789309934,-0.07709565280231924,0.10163670115903062,0.13116375496038776,-0.042533075157295895,-0.014302062089771882,-0.11823283281012864,0.11650241947466972,0.005910404553013058,0.08945633730718074,-0.008587060737324985,0.1356908098741753,0.015000618749500072,-0.00983175625782536,0.03781093813753763,0.003761698597984534,0.05077117560634795,0.06107985309595609,-0.014819621957683195,0.07874596743481194
SPORT,-0.1373313198921021,0.08155853714055471,0.15941478204780848,0.2462251575731552,-0.30048162643580806,-0.03038991142678734,0.01471695576320981,-0.09190094172333527,-0.051430435041948136,-0.0471525146828468,0.0053958109974723166,0.002789609707837065,-0.005566633771506078,-0.008294343863978594,0.01052354706286102,0.0030645464887936805,0.004337324776216441,0.004888375360154214,0.020859315314785246,0.005623075008115659,-0.0021618223217450164,0.00026954628500242586,-0.008458480069620739,-0.005120666421423296,-0.00817430633629837,-0.05748754817417473,0.037464845143116945,-0.062098668853055365,-0.0641762512091218,-0.01144697266672518,-0.01904630409396171,-0.0369141133543073,-0.04868915687701949,-0.03367420889558892,-0.0355415262996339,-0.00933473317284833,0.00511226507583059,0.03719924484237773,0.023199527130358524,-0.0005743037388623629,0.011041173511768662,-0.061887532342154515,-0.057945463905627013,-0.0037275165105074043,-0.06505680460056347,-0.09946506678706314,0.0165899652979144,0.020166747432371672,0.002134934333266493,0.017398850649315623
FINANCE,0.4910726010002846,0.09676176847242261,0.035043589184697035,0.028710382414121376,-0.009906630542391513,-0.07472332241134878,-0.13886014650099632,0.06228344212338293,-0.016130227760233217,-0.06104507788535882,0.005909796146232241,0.0390008599101508,-0.15735478438472764,-0.19170415324385814,0.10628843566239796,0.13060557942772175,-0.03910564541491508,0.06180693290690071,-0.010420559341955557,-0.1440749605305437,0.17028544573533175,0.16823959260207233,-0.1324838164644315,-0.08986294548299338,-0.06286358940837235,0.02674440690144438,0.07656905805584797,0.0600550722424836,0.04692120260381127,0.012336124010861243,0.008008252034763096,0.0010933800764818583,0.04846028392407516,0.06929489832305899,-0.015859977598241846,-0.0024315960520663446,0.07467774447645328,0.008045305935178451,0.009841620723181886,0.0457100193361345,0.09573682072495963,0.07637866540242053,0.18359070068715644,0.030903514548440324,-0.007068918348003103,0.11464458899971941,-0.06386176008139564,0.08349035791943701,0.034958542574697486,-0.006935369314127371
SPORT,-0.1296463487815357,-0.16188979954549834,0.3388119935756663,-0.15360915768834346,0.1610270124294653,-0.16208982234169758,-0.17281553390849008,-0.10340754030220974,0.043561895434657244,0.04610751534240156,0.07303763063852062,0.10853195641112275,-0.023791604064317667,-0.017537476267224256,-0.016685717332564822,-0.021767853797038016,0.09584896029866243,-0.035109103993976806,-0.08690661748817154,-0.18993317809461632,-0.2785314854759545,0.0620850415976623,-0.1978805503515015,0.17287363880375253,-0.09017113210258633,-0.036633880662336075,0.02601550426016081,-0.013607639273157649,0.008016403125739608,0.0403623470490499,0.014761115826333432,-0.014032404454928865,0.17840335959335543,0.14378718751048294,-0.10039614545958098,0.035011741915390235,0.05845583014128914,0.024060889440294445,0.17821806522001593,-0.12265693141443451,0.02758767316321496,0.0990336013188628,-0.02347700800259652,-0.05432509379216544,-0.0820666531568099,0.002303072959510781,0.07704112986215138,-0.021399154075691616,-0.036461213235141364,0.0182391399422981
SPORT,-0.0798394991457154,0.05122970325019524,0.0017605275673225809,0.007506739486171616,0.008004817698918948,0.004967060941790503,0.03374379122082281,0.09586377087507227,-0.039845403391119805,-0.02527787977257381,0.10948807994938016,-0.00450896215855399,0.04734713018470551,0.01792336387827903,-0.039342258358778276,0.015314146468595182,-0.030255364357314206,-0.08556238216544672,0.08624521439465631,-0.031466187184032324,0.06511408794637906,-0.004185972605858058,0.012828556575120536,-0.0003256676412609759,-0.006105432852984539,0.08885584733214864,0.11471951823920724,-0.05791655571955036,0.0006228913285495501,0.09734173321429683,0.0916679209409257,-0.003702781897681717,0.0011666429122235288,-0.08830403932242843,-0.11001353381841478,-0.2846129088004418,0.11279889560591556,0.2559290985859787,0.053707243872215885,-0.05017390096168805,-0.11795820338569563,0.01353808024316144,0.0020629579862683615,0.10067576007418476,-0.23475096511786847,-0.12435594049739902,0.1003731042475477,0.021556823898440724,0.021648949305540007,0.17680047893267303
SPORT,-0.05290723216979117,0.03136341385499094,0.015805203650262972,0.043765370712683084,-0.032469491119007494,0.022462453292955695,0.012098124358655645,0.14137724018354741,0.004476761542881149,0.01552663382028039,0.043039319002068525,-0.023419781897291485,-0.006883256160899229,0.014857909082712265,-0.1299596490644667,-0.09229790209580568,0.005883060112535462,-0.21083064238686366,0.32481907160657014,0.04350987076504758,-0.2455862404068682,0.49346884193370893,0.07595180016739014,-0.19885061637183696,0.307758289709485,-0.003240172415400296,0.012119409314277293,-0.14264525150719326,0.09626762530484032,-0.10014031170802933,0.1313275366174276,-0.11857390830098812,0.03407503360513595,-0.004986590967686238,-0.014634874291135668,0.08523602487687201,-0.10596405755837357,-0.06381153212490814,0.04643545283471348,0.02822102432988353,-0.019365267025014704,0.03792437463752588,0.01818573837976539,0.005888079943872359,0.01589306163721822,0.0026341631330026863,-0.016798940565693293,-0.004794163684287471,0.0016326720276385854,-0.02821119596728648
SPORT,-0.09632015861738906,-0.08866994529359286,0.17170860050625134,-0.07835085734724538,0.090337437987026,-0.0075696021807319476,-0.08863053475262003,-0.03764576559430641,0.12822536235508147,-0.06146534047490376,0.06367261852027699,0.037706753433417554,0.07209569569156474,0.08751809921073944,-0.006836109831804361,0.03510536630772856,0.01623460790386582,0.05655909661612392,0.06371828713434415,-0.023499209464662357,0.01211443201809732,0.09993660714744255,0.0681539174643673,0.0126276075292801,0.07083083220111588,-0.037857020522573594,0.059533574085213724,0.06995975563092625,-0.012435424192676616,-0.013052769295515524,-0.036649293914521555,0.006585410250190162,-0.08966241193724875,-0.0995724078426965,0.0015078834854302615,-0.05621710692366869,0.0004868668439966267,0.05782154013678193,-0.09834883911277795,0.05762478120756861,-0.03961833337876469,-0.11923814437260391,-0.014808653838961714,0.20993072046635522,0.06581252010953931,-0.029515998056158736,-0.13170670328740633,-0.21687664276725166,0.02407583965592712,-0.008720667520242725
SPORT,-0.1581156276018644,-0.11351829062081105,0.34371933500981816,-0.095049880512336,0.08701872885834465,-0.15719915716088834,-0.13439593535142494,-0.11598614677057109,0.06143821306814646,0.060991795309165764,0.05893433557119866,0.07485060238133569,-0.047484987283507654,0.007238652098706496,-0.05808403272620785,0.0065013090746938555,0.14028560097735532,-0.029209957633854942,0.05571853585008414,-0.09275820875680649,-0.0684548069031417,-0.0012437565153088836,-0.16459620623033602,0.040249347972936424,-0.008293777118712781,-0.06228955018360275,-0.02709557748912119,-0.03250150346993882,-0.038899079872447465,0.01577359582094033,0.031004144947545102,0.08382730942462416,0.0006353014582709359,0.007442806203994814,-0.035203678788611116,0.011084181709618512,0.03730599721569435,-0.08383939774774904,0.07832999490404441,-0.044917046389865135,0.023993991549723107,-0.01614634900663898,-0.09232160510870309,-0.018831479682465704,-0.006643842084867321,-0.087859338419014,-0.04452292864916267,-0.06849134968605917,-0.05207563061230074,-0.09511507704573575
SPORT,-0.05901169901585558,-0.021624598137520098,0.035198721827971485,-0.00643848519040704,0.025872914432459475,0.008601998441729663,0.03651449825407428,0.12198597857768932,-0.13767551696276578,-0.058191711789183656,-0.05094384416951327,-0.0789371225845372,0.0548058537620752,-0.00717868730587034,-0.10004815650040369,-0.021102980581806523,0.09076743131265165,0.019779763568561533,0.0972599144828175,-0.018843196615217807,0.04758404887373132,-0.10858584419754651,-0.04275546601317127,0.005229892334125885,-0.024402069644219215,0.047979529486260525,0.1586385487163298,-0.09585116346879456,-0.09486415153393882,0.01904803658156481,0.08975153863060734,-0.10021751868241642,0.0373511224863524,-0.11782501205742543,-0.0031455101097245734,-0.2264695740749758,0.05568232734007165,0.02982146772032031,0.0015381593206969346,0.12273180414535305,0.006373050960759613,0.3473264514290773,-0.19422073687719402,-0.07589660795137151,0.07077537365766805,0.16076051163405886,-0.18930638652869572,-0.10271467020073077,0.09307968430050102,0.04677919993810244
SPORT,-0.07233008795494532,-0.05239528351802301,0.007688944174735417,0.03768699742257283,0.013803181032117232,0.033020913411034046,0.026774331203504198,0.06712481369587343,-0.09509186230944253,-0.052539463931744586,-0.03534182728255289,-0.082917435468601,-0.0033564386034755115,-0.022704845874081375,-0.0002767598870338609,-0.0007858836881090657,0.0993488056156949,0.04610443999301066,0.09098018988468813,0.0037380841477344146,0.028559397465944193,-0.08556125845344582,-0.0681042931584607,0.00201793776048626,-0.061891241502777083,-0.004507683291738057,0.011686139859712624,-0.12034225941378221,0.020939762381812586,-0.05749960781078721,0.02933978222874446,-0.09408896447103772,0.05771528163298484,0.06469001541827032,0.023676438768689023,-0.07995446392477747,0.03949645575739946,0.013825381929979043,-0.15759623269100415,0.15678022060024854,0.09886955518424999,0.1068818746513851,-0.24596086429042702,-0.09784259158384208,-0.0281271995006808,0.005938017466511144,-0.07692094375176334,-0.14110335447447345,0.01118735220316306,0.001351568606209024
