Kategori,Judul Berita,Isi Berita
SPORT,Derrick Michael Wujudkan Mimpi Masa Kecil Tampil di Asian Games 2026,"Mata Derrick Michael Xzavierro berbinar saat berbicara soal Asian Games 2026. Dia akan mewujudkan mimpi masa kecilnya!
""Aku ingat terakhir kali menonton Asian Games itu saat digelar di Jakarta. Asian Games di Jakarta benar-benar seperti mimpi buat aku. Waktu itu aku masih SMA dan datang ke Gelora Bung Karno hanya untuk menonton. Suasananya benar-benar bagus, begitu juga dengan penontonnya,"" kata Derrick saat ditemui di Jakarta Selatan, Sabtu (6/9/2026).
Tak ayal, saat mimpi itu terwujud, Derrick mengaku benar-benar antusias. Apalagi klub tempat ia bernaung saat ini, Saga Ballooners, mengizinkannya memperkuat Indonesia.
""Aku antusias banget karena ini pertama kalinya aku tampil di Asian Games,"" ujarnya.
""Ini juga merupakan salah satu impianku sejak kecil untuk bisa bermain di Asian Games. Jadi, aku ingin membuat semuanya benar-benar berarti.""
Di Asian Games, Derrick dan kawan-kawan langsung menghadapi tantangan besar. Ia akan melawan tuan rumah di Aichi-Nagoya pada 10 September 2026. Alih-alih gentar, Derrick justru makin semangat.
Apalagi, Derrick sudah terbiasa dengan atmosfer basket Jepang. Kini ia akan merasakannya dengan jersey Merah Putih.
""Kami akan bermain melawan Jepang. Aku tahu arenanya akan sangat besar, salah satu arena terbesar di B.League. Jadi, aku sangat excited untuk bermain di sana,"" ujarnya.
Tak hanya itu, Derrick juga semakin bersemangat karena rekan-rekannya di Jepang juga bakal mendukungnya secara penuh saat di Asian Games nanti.
""Oh iya, semua teman-teman saya di Jepang, B.League dan tim saya, benar-benar mendukung saya. Kemarin saya juga sempat latihan sekitar sebulan di sana. Mereka bilang, 'Kami akan menonton pertandinganmu. Lakukan yang terbaik. Kami akan mendukungmu.'""
""Walaupun mereka berasal dari Jepang, mereka tetap mendukung saya sebagai salah satu pemain mereka. Jadi, saya sangat beruntung bisa berada di Saga juga. Mereka memberikan dukungan penuh kepada Indonesia,"" ujarnya.
Pebasket berusia 23 tahun ini pun membeberkan target pribadinya dalam debutnya di Asian Games 2026.
""Target pribadi pastinya menang sebanyak-banyaknya dan memberikan kontribusi sebagus-bagusnya untuk tim. Semoga kami bisa memenangkan setiap pertandingan. Setidaknya kami bisa lolos ke grup berikutnya,"" kata Derrick.
""Untuk masyarakat Indonesia, aku sangat membutuhkan dukungan, full support. Jangan setengah-setengah dalam memberikan dukungan,"" ucapnya.
(mcy/aff)"
SPORT,Seri Keempat M-15 Men's World Tennis Championship Dimulai,"Setelah sepekan libur, kejuaraan tenis internasional Men's World Tennis Championship 2026 kembali bergulir. Seri keempat langsung panas di babak kualifikasi.
Apabila sebelumnya berlabel Universal Tennis Rating Pro Tennis Tour atau UTR PTT. Maka untuk seri keempat ini kembali berkategori M-15 yang dilangsungkan selama sepekan, 31 Agustus-6 September di Bali Beach Country Club, Nusa Dua, dan berhadiah total 20 ribu dolar AS.
Untuk babak penyisihan seri keempat, ada 32 petenis dari 12 negara yang memperebutkan delapan ke babak utama. Pada pertandingan, (Minggu 30/8/2026), tuan rumah Indonesia berhasil meloloskan dua pemainnya ke final kualifikasi, yakni Gunawan Trismuwantara serta Ethan David Zapp.
Gunawan mengawalinya dengan menghentikan perlawanan wakil Australia Sebastian Huggins dua set langsung.
Sempat mendapat perlawanan di set pertama dan kehilangan tiga gim, Gunawan bisa menang 6-3. Sebastian Huggins kian tak berdaya meredam agresivitas Gunawan di set kedua sehingga menyerah 0-6 dalam waktu 56 menit.
Pada laga final kualifikasi, Gunawan bertemu Haruto Ishikawa yang mengalahkan Ashwin Ryan Sharma 6-2, 3-6 dan 10-8.
""Saya mau main bagus dan fokus di setia laga. Ini faktor utama yang membuat saya menang hari ini. Semoga bisa lebih baik di laga-laga berikutnya,"" ujar Gunawan dalam keterangan kepada media.
Langkah impresif Gunawan diikuti petenis muda Ethan David Zapp yang mengalahkan kompatriotnya, Dewana Gustaman, 6-2 dan 6-3.
Ethan yang baru berusia 17 tahun menantang unggulan kee,pat Ren Nakamura dari Jepang untuk memperebutkan tiket ke babak utama.
Kelolosan kedua petenis di atas ke babak final tidak bisa diikuti wakil Inndonesia lainnya, seperti Renaldi Aquila Salim, M. Ragil Putra, Kareem Abdul Hakim, dan Raphael Rio Suryana.
Kareem kalah 1-6 dan 4-6 dari Azuma Visaya, disusul Renaldo yang takluk 1-6 0-6 dari. Stefan Menichella. Raphael juga selesai kiprahnya usai ditaklukkan Matthew Shearer 3-6, 4-6 dan Ragil kalah 1-6 1-6 dari Thomas Patton."
SPORT,Agar MotoGP Indonesia 2026 Sukses di Dalam dan Luar Lintasan,"MotoGP Indonesia 2026 akan digelar awal Oktober. Persiapan pun sudah dilakukan sejak dini agar event bisa berjalan sukses di dalam maupun luar lintasan.
Untuk MotoGP 2026, balapan digelar 9-11 Oktober di di Sirkuit Mandalika, Lombok Tengah, NTB. Mengingat Mandalika adalah seri ke-17 dari 22 balapan musim ini, maka persaingan diprediksi makin ketat di sana.
Oleh karenanya, Indonesia sebagai tuan rumah tidak boleh main-main dalam mempersiapkan banyak hal, baik di dalam maupun luar lintasan. Untuk itulah InJourney Tourism Development Center (ITDC) sebagai panitia lokal akan melakukan kolaborasi pihak swasta dan BUMN.
Panitia akan mengatur sejumlah aspek krusial, mencakup akomodasi, transportasi, konektivitas, hingga logistik. Menurut ITDC, isu akomodasi dan transportasi yang selama ini disorot publik telah diantisipasi melalui skema terintegrasi yang disusun bersama para mitra seperti bank, travel agent, dan berbagai partner strategis lainnya.
Salah satunya, ITDC bersama Mandalika Grand Prix Association (MGPA) menyiapkan paket yang menghubungkan tiket balapan dengan komponen perjalanan.
""Kalau pertanyaan kita kesulitan akomodasi, kesulitan transportasi rasanya akan terjawab dengan yang ditandatangani pada sore hari ini,"" ujar Direktur Utama ITDC Troy Warokka dalam rilis kepada detikSport.
Skema tersebut meliputi akomodasi, transportasi udara dan laut, layanan airport hospitality, serta travel package. Kerjasama nantinya mencakup penanganan kargo yang dianggap sebagai elemen penting dalam operasional gelaran.
Aktivitas cargo handling akan mulai bergerak sekitar dua minggu sebelum MotoGP Indonesia 2026 untuk memastikan kebutuhan logistik berjalan baik, terutama motor dan perlengkapan tim balap MotoGP.
Bagi Troy, MotoGP bukan sekadar olahraga tapi juga bisnis. Itulah mengapa MotoGP sangat penting mendorong pariwisata dan perekonomian dengan meningkatkan kunjungan wisatawan, memperpanjang length of stay, serta mengungkit tourism spending.
Menurut Troy, penyelenggaraan MotoGP 2025 menghasilkan dampak ekonomi sebesar Rp 4,9 triliun. Efeknya tidak hanya dirasakan di Mandalika, tetapi juga menjalar ke sejumlah daerah lain di Indonesia.
Troy berharap pola kolaborasi yang dibangun untuk MotoGP Mandalika dapat berlanjut dalam jangka panjang. Troy menilai dukungan pemerintah, BUMN, sektor swasta, dan masyarakat menjadi faktor penting agar MotoGP terus digelar di Indonesia serta memberikan dampak ekonomi yang lebih besar.
""Dengan membangun ekosistem yang terintegrasi, kami ingin memastikan dampak MotoGP Indonesia tidak berhenti di sirkuit, tetapi mampu mendorong pergerakan wisatawan, memperpanjang lama tinggal, meningkatkan belanja wisatawan, serta memberikan manfaat yang lebih luas bagi industri pariwisata dan masyarakat di Lombok,"" sambungnya.
Bagi masyarakat yang ingin menyaksikan langsung balapan di Mandalika, Presale 2 masih berlangsung hingga 16 September, dengan potongan harga hingga 20% untuk kategori Grandstand dan 10% untuk kategori VIP Hospitality. Berikut harga tiket untuk menonton MotoGP Indonesia 2026:
- Regular Grandstand (Zona E, G, H, I): Rp 320.000
- Premium Grandstand Zona A: Rp 1.400.000
- Premium Grandstand Zona B, C, J, K: Rp 720.000
- VIP Hospitality - Deluxe Class: Rp 13.500.000
- VIP Hospitality - Luxury Tent T1: Rp 6.975.000"
FINANCE,Besok Serbu Transmart Full Day Sale! Pesta Diskon Meriah 50% + 20%,"Transmart Full Day Sale hadir besok, Minggu 13 September 2026. Transmart Full Day Sale datang dengan diskon melimpah hingga 50% + 20%, berlangsung sejak toko buka hingga berakhir jam 10 malam.
Diskon tambahan 20% diberikan kepada pelanggan apabila bertransaksi menggunakan kartu kredit Bank Mega, kartu kredit Bank Mega Syariah.
Sebagai contoh TV LED UHD Smart 43 inch. Harga normal mulai Rp 5.199.000, dan harga promo mulai Rp 4.999.000
Jika pembelian menggunakan kartu kredit Bank Mega atau Bank Mega Syariah maka pelanggan bisa mendapatkan produk tersebut dengan harga Rp 3.999.200/unit. Belanja Smart TV pun jadi hemat Rp 1.199.800/unit dari harga normal.
Lalu ada, SHARP Mesin Cuci Front Load. Harga normal produk ini mulai Rp 6.129.000/unit. Sementara harga promo Rp 1.095.800/unit
Jika pembelian menggunakan kartu kredit Bank Mega atau Bank Mega Syariah maka pelanggan bisa mendapatkan tambahan diskon. Harganya pun menjadi Rp 4.071.200/unit. Belanja mesin cuci pun jadi hemat Rp 2.057.800/unit dari harga normal.
Selanjutnya Polytron Kulkas Fridge SBS 480L. Harga normal produk ini 12.379.000/set. Sedangkan harga promo mulai dari Rp 10.449.000/set
Jika menggunakan kartu kredit Bank Mega atau Bank Mega Syariah, maka pelanggan setia akan mendapatkan kulkas tersebut dengan harga Rp 8.359.200/set. Belanja kulkas jumbo pun hemat Rp 4.019.800 dari harga normal.
Lalu, SHARP AC Split 1 PK. Harga normal produk ini mulai Rp 5.759.000/unit. Sedangkan harga promo mulai Rp 5.019.000/unit.
Jika menggunakan kartu kredit Bank Mega atau Bank Mega Syariah, maka pelanggan setia akan mendapatkan AC tersebut dengan harga Rp 4.015.200/set. Belanja AC pun jadi hemat Rp 1.743.800 dari harga normal.
Perlu dicatat, dalam pembelian produk elektronik ini syarat ketentuan berlaku serta tidak berlaku bagi pembelian partai besar, serta minimal transaksi Rp 300.000
Selain itu, sebelum datang ke Transmart Full Day Sale, baca dulu syarat dan ketentuannya:
Syarat dan Ketentuan Transmart Full Day Sale Minggu 13 September 2026
1. Diskon tambahan 20% hanya untuk menggunakan Kartu Kredit Bank Mega & Mega Syariah, dengan minimum pembelian Rp 300.000
2. Diskon tidak berlaku untuk kartu Mega Corporate, Mega Wholesale Card, Mega Groserindo, TVS & Trans Hello.
3. Diskon tambahan 20% hanya berlaku di tanggal 13 September 2026 2026 mulai buka toko - pukul 22.00 (waktu setempat) di seluruh toko Transmart.
4. Khusus untuk elektronik (TV, AC, Mesin Cuci, kulkas) maksimal pembelian masing-masing kategori 2 unit per kartu atau per akun
5. Tidak berlaku untuk IT, laptop, dan gadget, serta produk bertanda Tidak Berlaku Promo FDS.
Untuk yang belum punya Kartu Kredit Bank Mega, nggak perlu khawatir. Ada unit pembukaan instan yang tersedia di gerai Cibubur dan Central Park.
(hns/hns)"
FINANCE,"MGLV Bidik Dana Rp 2,54 Triliun Lewat Rights Issue, Siapkan Proyek Data Center","Market Overview
Perdagangan saham di Bursa Efek Indonesia (BEI) pada Jumat (11/9/2026) berakhir dengan pelemahan. IHSG turun 0,73% ke posisi 6.541,38.
Beberapa saham masih mencatatkan penguatan. SRAJ menjadi saham dengan kenaikan terbesar, yakni 20,00%, disusul CASA yang naik 10,83% dan AMMN sebesar 1,04%. Sebaliknya, BYAN terkoreksi 5,73%, BBCA turun 1,56%, dan BBRI melemah 1,51%.
Tekanan juga terlihat dari transaksi investor asing. Di pasar reguler, investor asing mencatatkan net sell Rp732,81 miliar. Jika dihitung di seluruh pasar, posisi net sell tercatat Rp690,19 miliar.
Dari 11 sektor saham, sebanyak 10 sektor berakhir melemah. Consumer Non-Cyclicals menjadi sektor dengan penurunan paling dalam, yakni 1,25%. Sementara itu, Healthcare menjadi sektor dengan kenaikan tertinggi setelah tumbuh 3,91%.
Bursa saham Amerika Serikat justru bergerak positif pada perdagangan terakhir. Dow Jones naik 0,98% ke level 52.573, S&P 500 bertambah 0,86% ke 7.656, sedangkan Nasdaq menguat 0,96% ke level 26.333.
Di pasar offshore, ETF EIDO dan MSCI Indonesia masing-masing tercatat turun 2,13% dan 1,29%. Dalam perkembangan indeks ETF emas global, AMMN belum masuk ke GDXJ dan EMAS belum masuk GDX. AMMN, BRMS, serta sejumlah emiten emas Indonesia lainnya juga tidak mengalami perubahan komposisi pada indeks terbaru. Kondisi tersebut membuat tambahan katalis dari rebalancing ETF emas global masih terbatas.
Sementara itu, pada perdagangan offshore, ETF EIDO dan MSCI Indonesia masing-masing mengalami koreksi 0,78% dan 1,09%.
Berita Emiten
PT Timah Tbk (TINS)
TINS tengah memperluas pasar ekspor untuk produk timahnya. India menjadi salah satu pasar yang terus dikembangkan, dengan kontribusi terhadap penjualan TINS yang meningkat dari sekitar 5% menjadi 12%.
Selain India, perseroan juga menyasar pasar Vietnam, Filipina, dan Inggris. TINS bahkan menyiapkan ekspansi ke kawasan Timur Tengah yang ditargetkan mulai dilakukan pada 2027.
Untuk mendukung peningkatan produksi, TINS menambah empat kapal produksi sekaligus memperkuat pengamanan Izin Usaha Pertambangan (IUP). Langkah ini dilakukan untuk mengejar target produksi 30.000 ton timah dan penjualan 29.000 ton sepanjang 2026.
Perseroan juga mengajukan revisi RKAP 2026 dengan target keuangan yang lebih tinggi dibandingkan target sebelumnya. Memasuki 2027, fokus TINS akan diarahkan pada pencarian cadangan baru melalui eksplorasi, pengembangan timah primer, serta logam tanah jarang.
PT Radiant Utama Interinsco Tbk (RUIS)
RUIS mulai memperbesar porsi bisnis di luar sektor minyak dan gas (migas). Salah satu yang menjadi perhatian perseroan adalah pengembangan bisnis geothermal dan energi baru terbarukan (EBT).
Saat ini, geothermal dan EBT menyumbang sekitar 5% dari portofolio RUIS. Kontribusi tersebut ditargetkan meningkat menjadi 7–8% pada 2027.
Diversifikasi RUIS tidak hanya menyasar energi. Perseroan juga mengembangkan portofolio di bidang petrokimia, power & electricity, hingga industri pendukung lainnya. Salah satu proyek yang digarap adalah solar PV dengan total kapasitas instalasi mencapai 13 MW hingga 2026.
Dari sisi perolehan kontrak, RUIS membukukan 305 proyek baru sepanjang semester I 2026. Nilai proyek tersebut mencapai sekitar Rp1,28 triliun. Sementara itu, nilai kontrak aktif perseroan kini telah menembus lebih dari Rp5 triliun.
PT Nexai Digital Infrastruktur Tbk (MGLV)
MGLV menyiapkan aksi rights issue atau PMHMETD I dengan rasio 100:15. Dalam aksi tersebut, perseroan akan menerbitkan maksimal 285,73 juta saham baru.
Jumlah saham baru tersebut setara dengan 13,04% dari modal ditempatkan dan disetor penuh setelah pelaksanaan PMHMETD I. Harga pelaksanaan ditetapkan Rp8.880 per saham.
Dengan harga tersebut, MGLV berpotensi memperoleh dana hingga Rp2,54 triliun. Dana tersebut akan digunakan untuk mendukung sejumlah kebutuhan pengembangan infrastruktur data center.
Sebesar Rp1 triliun akan ditempatkan sebagai setoran modal kepada PT Nextier GenAi Center. Dana tersebut akan digunakan untuk pembangunan fasilitas data center di Kawasan Industri Terpadu Batang.
Kemudian, Rp600 miliar akan diberikan kepada PT Nextier Askara Center untuk pengembangan fasilitas data center di Jababeka, Cikarang. MGLV juga mengalokasikan Rp668,61 miliar untuk mengambil alih piutang PT Nextier Datamate Center (NDC) kepada kedua entitas anak tersebut.
Sisa dana dari rights issue akan digunakan untuk kebutuhan modal kerja perseroan.
Dalam aksi ini, pemegang saham utama NDC yang memiliki 65,10% saham telah menyatakan komitmennya untuk mengambil seluruh HMETD yang menjadi haknya. Jumlahnya mencapai 186 juta HMETD dengan nilai sekitar Rp1,65 triliun.
Di sisi lain, pemegang saham lama yang tidak menggunakan haknya dalam rights issue tersebut dapat mengalami dilusi maksimal 13,04%.
Untuk jadwalnya, perdagangan sekaligus pelaksanaan HMETD akan berlangsung pada 5–18 November 2026. Cum-right di pasar reguler dan negosiasi dijadwalkan pada 30 Oktober, sedangkan recording date ditetapkan pada 3 November 2026.
Rekomendasi Saham Hari Ini
BRMS - Buy 660-670 | TP 685-700 | SL 625
ANTM - Buy 3240-3260 | TP 3300-3360 | SL 3070
KIJA - Buy 193-196 | TP 200-204 | SL 183
ELIT - Buy 284-288 | TP 294-304 | SL 272
IRSX - Buy 410-414 | TP 418-428 | SL 388
Disclaimer: Ingat, bahwa segala analisis dan rekomendasi saham dalam artikel ini bersifat informatif sekaligus bukan merupakan ajakan untuk membeli atau menjual saham tertentu.
(ang/ang)"
FINANCE,"Pakai Ganjil-Genap, Pertamina Sebut Antrean di SPBU Makassar Mulai Landai","PT Pertamina Patra Niaga menyatakan antrean kendaraan di sejumlah SPBU di Kota Makassar secara bertahap mulai melandai. Hal ini terjadi usai Pertamina melakukan upaya optimalisasi pasokan dan pelayanan BBM bersama Pemerintah Provinsi Sulawesi Selatan.
Salah satu bentuk kolaborasi bersama Pemerintah Provinsi Sulawesi Selatan adalah pemberlakuan sistem ganjil-genap untuk pengisian BBM di SPBU. Pengaturan tersebut dilakukan untuk membantu mengatur antrean kendaraan dan mendukung kelancaran pelayanan masyarakat di lapangan.
""Antrean di sejumlah SPBU di Makassar saat ini secara bertahap mulai melandai. Kami terus melakukan berbagai langkah untuk memperkuat pasokan dan pelayanan, serta berkolaborasi dengan Pemerintah Provinsi Sulawesi Selatan untuk mendukung kelancaran pelayanan BBM kepada masyarakat,"" ujar Kitty Andhora, VP Corporate Communication Pertamina Patra Niaga, dalam keterangannya, Minggu (13/9/2026).
Di sisi operasional, Pertamina Patra Niaga terus memperkuat pasokan melalui distribusi mobil tangki yang beroperasi selama 24 jam. Selain itu, sebanyak 25 SPBU di Makassar dioperasikan selama 24 jam untuk memberikan akses pelayanan yang lebih luas kepada masyarakat.
Optimalisasi pelayanan juga dilakukan melalui penambahan nozzle BBM subsidi dan operator di sejumlah SPBU. Pertamina Patra Niaga turut menambah titik distribusi melalui pengoperasian 3 unit SPBU Modular guna mendukung pemenuhan kebutuhan BBM masyarakat.
""Berbagai langkah ini kami lakukan untuk memastikan pasokan dan pelayanan terus berjalan secara optimal. Kami juga terus memantau kondisi di lapangan dan melakukan penyesuaian sesuai kebutuhan, sehingga masyarakat dapat memperoleh BBM dengan lebih lancar,"" lanjut Kitty.
Pertamina Patra Niaga memahami BBM merupakan kebutuhan penting masyarakat untuk menunjang mobilitas dan aktivitas sehari-hari. Oleh karena itu, optimalisasi pasokan, distribusi, dan pelayanan terus dilakukan secara berkelanjutan sesuai dengan kondisi di lapangan.
Pihaknya juga mengapresiasi dukungan Pemerintah Provinsi Sulawesi Selatan serta masyarakat yang telah mengikuti ketentuan dan arahan petugas di lapangan. Kolaborasi seluruh pihak diharapkan dapat terus mendukung kelancaran pelayanan BBM bagi masyarakat Makassar.
""Pertamina Patra Niaga akan terus berupaya memberikan pelayanan terbaik dan memastikan distribusi BBM berjalan dengan optimal, agar kebutuhan masyarakat dapat terpenuhi dan aktivitas sehari-hari dapat terus berjalan dengan lancar,"" tutup Kitty.
(acd/acd)"
SPORT,MotoGP San Marino: Antusiasme Bezzecchi Balapan di 'Rumah Sendiri',"Marco Bezzecchi tak sabar menghadapi MotoGP San Marino 2026. Bagi pebalap Aprilia itu, balapan di Sirkuit Misano punya arti khusus karena lokasinya sangat dekat dengan kampung halamannya, Rimini.
MotoGP San Marino akan berlangsung di Misano pada 11-13 September. Bezzecchi menyebut seri ini selalu terasa berbeda dibandingkan balapan lainnya.
""Grand Prix kandang selalu memiliki sesuatu yang ajaib dan spesial,"" kata Bezzecchi seperti dilansir Motosan.
Misano memang seperti rumah kedua bagi Bezzecchi. Sirkuit tersebut hanya berjarak beberapa kilometer dari Rimini, tempat kelahirannya.
Saking dekatnya, Bezzecchi bahkan masih akan tinggal di rumah hingga Kamis sebelum pindah ke motorhome untuk menjalani rangkaian akhir pekan balapan.
""Misano benar-benar wilayah rumah saya. Saya di rumah sampai Kamis. Jadi, ya, ini luar biasa; selalu menjadi perasaan yang luar biasa, selalu memiliki rasa yang spesial,"" ujarnya.
Bezzecchi Datang dengan Modal Bagus
Antusiasme Bezzecchi semakin besar setelah dua seri terakhir memberinya hasil positif. Ia berhasil mengumpulkan poin penting untuk tetap berada dalam persaingan gelar MotoGP 2026.
""Beberapa waktu terakhir memang cukup sulit, tetapi dua balapan terakhir berjalan dengan baik. Kami berhasil mendapatkan kembali beberapa poin,"" katanya.
Setelah MotoGP Aragon, Bezzecchi berada di posisi ketiga klasemen. Ia tertinggal 24 poin dari Jorge Martin yang memimpin, sementara Marc Marquez berada di posisi kedua dengan selisih 19 poin dari Martin.
Karena itu, balapan di Misano bukan sekadar home race bagi Bezzecchi. Pebalap Italia tersebut juga punya kesempatan untuk memangkas jarak dalam perebutan gelar di depan pendukungnya sendiri.
""Anda harus percaya pada diri sendiri, Anda harus berjuang. Kimi melakukannya, dan saya tentu akan berusaha memberikan yang terbaik,"" ujar Bezzecchi."
FINANCE,Serbu! Tempat Tidur Banting Harga di Transmart Full Day Sale,"Pesta diskon Transmart Full Day Sale masih menyapa pelanggan selama seharian penuh. Hari ini, Transmart memberikan diskon melimpah kepada pelanggan setia, termasuk tempat tidur.
Ada diskon hingga 50% dan tambahan diskon 20% dengan menggunakan kartu kredit Bank Mega, atau kartu kredit Bank Mega Syariah. Diskon ini berlangsung mulai buka toko hingga pukul 22.00 WIB.
Spesial hari ini, beli produk Airland Ottawa set dibanderol dengan harga promo Rp 7.999.000 dari harga awal Rp 24 juta.
Harganya jadi lebih murah lagi jika menggunakan kartu kredit Bank Mega atau kartu kredit Bank Mega Syariah, jadi Rp 6.399.200. Artinya, pembeli bisa hemat sampai Rp 17 jutaan. Diskon tersebut berlaku di Jakarta.
Khusus di Luar Pulau Jawa, produk Airland Ottawa set ditawarkan dengan harga promo Rp 8.499.000. Padahal harga normal tempat tidur itu sendiri Rp 26 jutaan.
Harganya jadi lebih murah lagi jika menggunakan kartu kredit Bank Mega atau kartu kredit Bank Mega Syariah, jadi Rp 6.799.200. Artinya, pembeli bisa hemat sampai Rp 19 jutaan.
Untuk yang belum punya Kartu Kredit Bank Mega, nggak perlu khawatir. Ada unit pembukaan instan yang tersedia di gerai Cibubur dan Central Park. Jadi tunggu apa lagi? Segera merapat ke Transmart terdekat, lalu nikmati diskon melimpah khusus di Transmart Full Day Sale.
(acd/acd)"
SPORT,GTWCE 2026: Sean Gelael dkk. Gagal Dapat poin di Jerman,"Balapan GT World Challenge Europe (GTWCE) di Jerman berakhir pahit untuk Sean Gelael dan AF Corse 50. Mereka gagal dapat poin.
Pada balapan putaran keempat Endurance Cup di Sirkuit Nurburgring, Minggu (30/8/2026) malam WIB, Sean bersama Lilou Wadoux dan Arthur Leclerc mendapat start yang kurang impresif.
Sebab mereka harus memulai dari posisi ke-17 setelah hasil buruk di kualifikasi. Mobil Ferrari yang dikendarai Sean dkk. memang tidak bisa memberikan perlawanan berarti di Nurburgring.
Tidak cuma mobil nomor 50, tapi juga nomor 51. AF Corse 51 yang finis ketiga di Belgia dua bulan lalu, hanya mampu menyelesaikan balapan di posisi ke-14, terpaut satu menit dibanding sang pemenang, tim Comtoyou Racing #7.
Sementara, AF Corse 50 tidak berubah, yakni tetap di urutan ke-17 dengan selisih 1 menit 25,406 detik di belakang pemenang.
Rata-rata dua mobil Ferrari itu kalah 1 s.d. 1,5 detik per lap dari mobil dan tim lain. Selain Balance of Performance (BoP) yang jadi handicap walau besarannya tak dirilis, ada juga karakter sirkuit yang berbeda dibanding Spa-Francorchamps, sehingga Ferrari tidak punya daya cengkram di mobilnya.
Keberadaan Safety Car (SC) yang membantu mendekatkan jarak antar-mobil pun tak menolong. Padahal selama tiga jam balapan di Nurburgring, SC tiga kali masuk ke trek untuk menetralisir lomba.
Tim Mercedes-AMG Team Mann-Filter #48 keluar sebagai juara umum GTWCE-Endurance Cup. Balapan pamungkas GTWCE digelar di Sirkuit Algarve, Portimao di Portugal. Menariknya, akhir pekan itu berbarengan dengan putaran FIA WEC di Barcelona, Spanyol.
Sebagai kompromi, Race GTWCE Sabtu (17/10), lalu FIA WEC di hari Minggu, (17/10)."
SPORT,"Rizki Juniansyah Siap Debut di Asian Games 2026, Naik Kelas ke 85 Kg","Rizki Juniansyah siap menjalani debut di Asian Games 2026. Peraih medali emas Olimpiade Paris 2024 itu mengaku sudah pulih 100 persen setelah sempat mengalami cedera bahu bulan lalu.
Rizki akan tampil di kelas 85 kg putra. Dia menjadi salah satu andalan angkat besi Indonesia untuk meraih medali di Asian Games Aichi-Nagoya 2026, Jepang.
""Alhamdullilah cukup baik. Untui Asian Games ini, saya baru pemulihan lagi, angkatan juga sudah balik lagi, insyaAllah saya akan bertanding maksimal di Asian Games nanti,"" ujar Rizki saat ditemui di Wisma Serba Guna, GBK, Rabu (9/9/2026).
Berbeda dengan Olimpiade Paris 2024, Rizki akan turun di kelas 85 kg pada Asian Games 2026. Saat meraih emas Olimpiade, dia tampil di kelas 73 kg.
""Di Asian Games 2023 memang saya tidak main karena usus buntu (absen) alhamdullilah ini Asian Games pertama saya. Saya turun di kelas 85kg karena saya change dengan senior saya (Rahmat Erwin Abdullah), dan memang jatahnya satu orang satu kelas dan akhirnya saya yang 85kg,"" jelasnya.
Rizki Juniansyah Harus Tambah Berat Badan dan Power
Bagi Rizki, yang kini berusia 23 tahun, kenaikan kelas bukan perkara mudah. Dia harus menyesuaikan berat badan sekaligus meningkatkan power untuk menghadapi persaingan di kelas 85 kg.
""Yang pasti lebih berat lagi lawan-lawannya. Saya harus menjaga pola makan karena menaikkan berat badan harus (meningkatkan) seperti apa, nutrisi, protein dan lain-lainnya,"" ujarnya.
""Pertama makanan, kedua latihan harus full power lagi, ketiga kondisinya harus lebih baik lagi karena menaikkan berat badan bukan asal naik saja tapi kita harus punya power yang bermanfaat buat tanding,"" tuturnya.
Rizki mengungkapkan berat badannya saat ini masih 78 kg. Dia pun belum mencapai 80 kg. ""Jujur berat badan saya 78kg, enggak nyampe 80kg. Tapi tak masalah bagi saya, yang penting nanti pertandingan bisa maksimal dengan keadaan dan berat badan saya seperti ini,"" katanya.
Rizki Waspadai Lima Negara
Menyoal peta persaingan di kelas 85 kg, Rizki menyoroti lima negara yang dinilainya bakal menjadi tantangan berat. Mereka adalah Korea Utara, China, Iran, Thailand, dan Korea Selatan.
Meski persaingan berat, Rizki bertekad memberikan performa terbaik. Statusnya sebagai peraih medali emas Olimpiade juga membuat ekspektasi terhadap dirinya cukup tinggi.
""Ya sebenarnya bukan beban bagi saya tapi motivasi untuk semangat bertanding karena buat apa dijadikan beban. Kalau beban saya akan jelek di pertandingan.""
""Jadi saya tetap enjoy, walau negara menargetkan harus emas atau apa, lalu PB PABSI juga harus ini, yang penting saya enjoy dan jalan sendiri, dan berusaha yang terbaik buat Indonesia,"" pungkasnya.
(mcy/krs)"
